text,font_size,is_bold,is_caps,y_pos,page,text_length,label
Application form for grant of LTC advance,11.670000076293945,1,0,106.07836151123047,1,41,Other
1.,9.744400024414062,1,0,135.93528747558594,1,2,Other
Name of the Government Servant,9.744400024414062,0,0,132.9924774169922,1,30,Other
2.,9.744400024414062,1,0,154.05015563964844,1,2,Other
Designation,9.744400024414062,0,0,151.0488739013672,1,11,Other
3.,9.744400024414062,1,0,180.9252166748047,1,2,Other
Date of entering the Central Government,9.744400024414062,0,0,169.1637420654297,1,39,Other
Service,9.744400024414062,0,0,186.74266052246094,1,7,Other
4.,9.744400024414062,1,0,207.80027770996094,1,2,Other
PAY + SI + NPA,9.744400024414062,0,1,204.8574676513672,1,14,Other
5.,9.744400024414062,1,0,225.91514587402344,1,2,Other
Whether permanent or temporary,9.744400024414062,0,0,222.9138641357422,1,30,Other
6.,9.744400024414062,1,0,241.09690856933594,1,2,Other
Home Town as recorded in the Service Book,9.744400024414062,0,0,241.09690856933594,1,41,Other
7.,9.744400024414062,1,0,265.0389404296875,1,2,Other
Whether wife / husband is employed and if,9.744400024414062,0,0,253.27745056152344,1,41,Other
so whether entitled to LTC,9.744400024414062,0,0,270.85638427734375,1,26,Other
8.,9.744400024414062,1,0,309.5611572265625,1,2,Other
Whether the concession is to be availed for,9.744400024414062,0,0,288.98095703125,1,43,Other
visiting home town and if so block for which,9.744400024414062,0,0,306.55987548828125,1,44,Other
LTC is to be availed.,9.744400024414062,0,0,324.19720458984375,1,21,Other
9.,9.744400024414062,1,0,362.833740234375,1,2,Other
(a) If the concession is to visit anywhere in,9.744400024414062,0,0,342.25360107421875,1,45,Other
"India, the place to be visited.",9.744400024414062,0,0,359.89093017578125,1,31,Other
(b) Block for which to be availed.,9.744400024414062,0,0,377.4698486328125,1,34,Other
10.,9.744400024414062,1,0,416.174560546875,1,3,Other
Single,9.744400024414062,0,0,395.59442138671875,1,6,Other
rail,9.744400024414062,0,0,395.59442138671875,1,4,Other
fare/bus,9.744400024414062,0,0,395.59442138671875,1,8,Other
fare,9.744400024414062,0,0,395.59442138671875,1,4,Other
from,9.744400024414062,0,0,395.59442138671875,1,4,Other
the,9.744400024414062,0,0,395.59442138671875,1,3,Other
headquarters to home town/place of visit by,9.744400024414062,0,0,413.17327880859375,1,43,Other
shortest route.,9.744400024414062,0,0,430.752197265625,1,15,Other
11.,9.744400024414062,1,0,498.6121826171875,1,3,Other
Persons in respect of whom LTC is proposed to be availed.,9.744400024414062,0,0,448.93524169921875,1,57,Other
S.No,9.744400024414062,1,0,464.05853271484375,1,4,Other
Name,9.744400024414062,1,0,464.05853271484375,1,4,Other
Age,9.744400024414062,1,0,464.05853271484375,1,3,Other
Relationship,9.744400024414062,1,0,464.05853271484375,1,12,Other
1.,9.744400024414062,1,0,476.23907470703125,1,2,Other
2.,9.744400024414062,1,0,488.47802734375,1,2,Other
3.,9.744400024414062,1,0,500.65850830078125,1,2,Other
4.,9.744400024414062,1,0,512.9559326171875,1,2,Other
5.,9.744400024414062,1,0,529.4532470703125,1,2,Other
6.,9.744400024414062,1,0,541.6921997070312,1,2,Other
12.  Amount of advance required.,9.744400024414062,1,0,561.1322631835938,1,32,Other
Rs.,9.744400024414062,0,0,561.1322631835938,1,3,Other
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.744400024414062,0,0,596.8357543945312,1,99,Other
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.744400024414062,0,0,608.5387573242188,1,99,Other
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.744400024414062,0,0,632.061767578125,1,109,Other
"advance, I undertake to refund the entire advance in one lump sum.",9.744400024414062,0,0,643.8232421875,1,66,Other
Date,9.744400024414062,1,0,678.9810180664062,1,4,Other
Signature of Government Servant.,9.744400024414062,1,0,690.7425537109375,1,32,Other
Overview,24.0,1,0,189.62002563476562,1,8,Other
Foundation Level Extensions,24.0,1,0,244.84402465820312,1,27,Other
Version 1.0,12.0,0,0,382.4300231933594,1,11,Other
International Software Testing Qualifications Board,18.0,0,0,465.6999816894531,1,51,Other
Copyright Notice,9.960000038146973,0,0,652.2861938476562,1,16,Other
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,0,0,663.8099365234375,1,93,Other
International,9.960000038146973,0,0,38.62621307373047,2,13,Other
Overview,12.0,0,0,41.58000183105469,2,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,2,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,2,43,Other
Qualifications,9.960000038146973,0,0,61.66619110107422,2,14,Other
Board,9.960000038146973,0,0,61.66619110107422,2,5,Other
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,0,0,120.36620330810547,2,92,Other
Version 2014,9.960000038146973,0,0,718.683349609375,2,12,Other
Page 2 of 12,9.960000038146973,0,0,718.683349609375,2,12,Other
"May 31, 2014",9.960000038146973,0,0,718.683349609375,2,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,2,53,Other
Qualifications Board,9.960000038146973,0,0,61.66619110107422,3,20,Other
International,9.960000038146973,0,0,38.62621307373047,3,13,Other
Overview,12.0,0,0,41.58000183105469,3,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,3,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,3,43,Other
Revision History,15.960000038146973,1,0,108.93620300292969,3,16,Other
Version,9.960000038146973,1,0,139.44622802734375,3,7,Other
Date,9.960000038146973,1,0,139.44622802734375,3,4,Other
Remarks,9.960000038146973,1,0,139.44622802734375,3,7,Other
0.1,9.960000038146973,0,0,151.80621337890625,3,3,Other
